Date,Sum_of_All_Products_Volume,Sum_of_All_Products_Open_Interest,Index_Options_Volume,Exchange_Traded_Products_Volume,Equity_Options_Volume,Equity_LEAPS_Volume,Equity_LEAPS_Open_Interest,Weeklys_Options_Volume,Weeklys_Options_Open_Interest
07/01/2014,4543839,283587946,1584617,1123384,1835838,62708,19388670,1250240,11943160
07/02/2014,3704448,289053793,1221092,877292,1606064,47321,19515583,1182348,13346218
07/03/2014,3222135,293880657,1076192,929174,1216769,31757,19681319,1185767,14639375
07/07/2014,3519273,290031215,1054314,737029,1727930,49039,19739603,920094,9195172
07/08/2014,5375034,294620703,2135899,1245498,1993637,63692,19827419,1197910,10702726
07/09/2014,3350305,300712966,994450,820012,1535843,34836,20033645,839039,12317956
07/10/2014,4268192,304457860,1460880,1166808,1640504,45552,20161666,988722,13233261
07/11/2014,4343348,307117624,1637570,894199,1811579,41538,20308604,1129970,13988028
07/14/2014,3924138,304125357,1542569,750897,1630672,44402,20478087,410489,7559284
07/15/2014,4521828,308223292,1815026,1014836,1691966,45960,20508295,495052,8318543
07/16/2014,4908945,309660060,1868171,725884,2314890,60676,20651904,542411,9251265
07/17/2014,6513490,312394807,2463863,1822765,2226862,56948,20751961,1138643,10164154
07/18/2014,5493471,316211554,1622848,1451412,2419211,42243,20993415,1232926,11986116
07/21/2014,3325632,263842170,1023562,699999,1602071,38546,20794541,1129613,13930955
07/22/2014,3830945,270303889,829139,1090093,1911713,52128,20965154,1198061,15994249
07/23/2014,3932191,276712287,949893,676530,2305768,60775,21171119,1293735,17718874
07/24/2014,3825015,282305814,1106786,722916,1995313,64686,21352198,1394714,19235088
07/25/2014,4007966,287421507,1224130,900221,1883615,50980,21610629,1819704,20502517
07/28/2014,3269882,282111403,777024,882317,1610541,46414,21767812,1054039,11861043
07/29/2014,3272505,287016970,785701,777835,1708969,57032,21850057,1065770,13611546
07/30/2014,4627875,292545241,1350116,1427948,1849811,55968,22025305,1285513,15035288
07/31/2014,7538539,298180556,2955184,2223519,2359836,106957,22198269,2314493,16645555
08/01/2014,6851144,305305239,2687231,1891246,2272667,54445,22479348,2604637,18726179
08/04/2014,3598839,301326182,1332465,935442,1330932,36349,22603262,1050117,10761554
08/05/2014,4083697,305823537,1496371,1207864,1379462,40421,22805041,870558,12446778
08/06/2014,4186611,310689844,1483675,1159958,1542978,60605,23015496,855494,13712566
08/07/2014,4722138,314477364,1907749,1161470,1652919,43679,23181965,1107312,14668203
08/08/2014,4393092,319064998,1688687,1201691,1502714,47655,23303521,1034694,15652234
08/11/2014,4103539,315054709,1804201,912432,1386906,48676,23565767,389843,7875284
08/12/2014,3518795,319056462,1451586,718181,1349028,45557,23734676,474236,8655690
08/13/2014,4253278,322782519,1471970,1096108,1685200,42397,23888400,578716,9613925
08/14/2014,4090218,323963349,1680540,789698,1619980,46331,23875197,619258,10481236
08/15/2014,6238248,324782433,2216300,1816781,2205167,65463,24000370,1580597,11616540
08/18/2014,4104755,278363229,1442843,1004469,1657443,45905,24117193,1312517,14148982
08/19/2014,4487256,283922641,2052058,903934,1531264,47798,24245001,1137294,16094752
08/20/2014,3775397,286417736,1643894,843268,1288235,37553,24418975,1204540,17608759
08/21/2014,3636133,292546237,1316073,847487,1472573,57833,24618127,1262447,18869874
08/22/2014,3992937,296286519,1428882,1002261,1561794,48338,24768893,1793990,20150085
08/25/2014,2987183,292577056,1071831,722268,1193084,47647,24927843,949915,13176281
08/26/2014,2999376,297441480,973831,666559,1358986,48102,25076569,888143,14756865
08/27/2014,3014276,301661420,806471,820064,1387741,72681,25238704,840334,15986185
08/28/2014,3333937,305362350,994543,1088531,1250863,74856,25372889,1120130,16951948
08/29/2014,3379591,309706657,1016091,959585,1403915,36690,25488225,1506125,18118224
09/02/2014,3765745,304596691,1123455,824586,1817704,57243,25581982,1107740,10537860
09/03/2014,3980138,309265914,1041364,893406,2045368,78091,25742741,1241412,12272220
09/04/2014,4550976,314624863,1490753,1226000,1834223,53036,26016646,1393525,13778487
09/05/2014,4500627,320125951,1374473,1233864,1892290,53894,26186044,1804705,15231590
09/08/2014,3531580,318129547,992191,859039,1680350,75027,26390648,988297,9718811
09/09/2014,4251700,323272315,1206441,987511,2057748,70680,26594019,1244003,11317379
09/10/2014,4188449,327756047,1291694,1018184,1878571,69508,26842220,937691,12683771
09/11/2014,4091600,332370041,1389958,1087901,1613741,60587,27066431,894104,13689944
09/12/2014,5536495,336804254,1997761,1400482,2138252,70113,27284068,1215678,14454777
09/15/2014,4374023,333949935,1559110,891821,1923092,62441,27521928,484211,7083983
09/16/2014,5066989,338529665,2050932,1204194,1811863,53684,27731145,538305,7940025
09/17/2014,4798577,339631610,1553801,1555254,1689522,57924,27979863,552328,9055572
09/18/2014,4782929,341565293,1454083,1337187,1991659,63774,28023278,789336,10139825
09/19/2014,6181957,339677211,1931323,1598897,2651737,63735,28364468,1265875,11534509
09/22/2014,4471873,282973184,1277400,1241056,1953417,75660,28087995,1547839,14053444
09/23/2014,4205948,290868519,1282788,1203252,1719908,66170,28350471,1286692,16596264
09/24/2014,4228712,297351473,1485358,1129497,1613857,54748,28574742,1273912,18307582
09/25/2014,5590805,303501542,2037798,1605709,1947298,78063,28758254,1852606,19741991
09/26/2014,4933893,309594670,1741378,1497197,1695318,49286,29016038,1971070,21448073
09/29/2014,4539216,305750913,1810940,1191423,1536853,59647,29186657,1138641,13948976
09/30/2014,4342187,311270817,1225129,1365666,1751392,98409,29389883,1392208,15726165
