Date,Sum_of_All_Products_Volume,Sum_of_All_Products_Open_Interest,Index_Options_Volume,Exchange_Traded_Products_Volume,Equity_Options_Volume,Equity_LEAPS_Volume,Equity_LEAPS_Open_Interest,Weeklys_Options_Volume,Weeklys_Options_Open_Interest
04/01/2015,3675715,253440445,1154130,1179851,1341734,83788,62534612,1439041,15298938
04/02/2015,3303354,258388546,984894,949846,1368614,89596,62962241,1361569,17002895
04/06/2015,3019280,255626303,951029,911603,1156648,84734,63238171,968269,10864543
04/07/2015,2942887,260272009,1079042,765675,1098170,83020,63513125,769759,12437740
04/08/2015,3203244,264254505,1017168,921348,1264728,138901,63687352,871077,13457381
04/09/2015,3392390,268540787,1245771,935601,1211018,82825,63975267,884791,14585272
04/10/2015,4816972,273742349,2241018,1059219,1516735,131305,64412143,998971,15511629
04/13/2015,3768524,271446587,1415296,974735,1378493,123205,64765881,489158,8379650
04/14/2015,3701385,276809480,1550622,777111,1373652,88942,65025375,432981,9456524
04/15/2015,4378181,278440528,1668673,1010843,1698665,157701,65538905,784430,10402420
04/16/2015,3935395,284309135,1230027,934814,1770554,41668,10385987,664460,12096108
04/17/2015,5487278,286711737,1743464,1675843,2067971,18802,10737077,1407148,13439921
04/20/2015,3251683,237865815,937454,769493,1544736,20287,10864015,1186404,15907526
04/21/2015,2792305,244559015,961162,534729,1296414,17372,11013470,968537,18001804
04/22/2015,3301949,250384034,960361,771847,1569741,28269,11147962,1220716,19485728
04/23/2015,3882216,256281143,1202664,934629,1744923,21711,11342729,1590442,21187026
04/24/2015,4130981,262341627,1404298,875503,1851180,46779,11450179,1724256,22677510
04/27/2015,3840743,257792902,1274154,833992,1732597,32496,11519010,1333310,14657251
04/28/2015,3518478,263992683,933884,748300,1836294,38831,11636797,1295863,16884094
04/29/2015,3993322,269902122,1282211,910329,1800782,31959,11764734,1384423,18490452
04/30/2015,4728803,275986752,1533185,1406021,1789597,40113,11941335,1979270,20397157
05/01/2015,3931060,281353672,1424431,847844,1658785,22156,12195461,1724138,22191368
05/04/2015,2677111,275773850,868142,588074,1220895,16762,12342617,936680,12762508
05/05/2015,4115582,280497056,1140120,1434056,1541406,34050,12389818,1377210,14519955
05/06/2015,4544431,285936901,1719775,1296002,1528654,30628,12494571,1352061,16127220
05/07/2015,3709943,291159889,1540476,898727,1270740,24738,12624910,1114382,17738566
05/08/2015,4761979,295742168,1841984,1335864,1584131,19263,12697930,1378007,18928725
05/11/2015,4166751,290471296,2304773,698518,1163460,21153,12727265,450475,10397541
05/12/2015,3589613,294888602,1453837,994245,1141531,15639,12814094,565676,11399457
05/13/2015,3118512,298717779,1052685,820172,1245655,22087,12924484,505212,12282448
05/14/2015,4071895,302704314,1645148,976842,1449905,19329,13061354,860672,13278093
05/15/2015,3871802,304985103,1285846,908651,1677305,14766,13128335,1124350,14835964
05/18/2015,4617744,255551417,2030004,1056762,1530978,21997,13198053,1371561,16843192
05/19/2015,3422436,263319977,1394245,748462,1279729,31116,13274496,1107152,19270432
05/20/2015,3431960,264355508,1498076,624228,1309656,16599,13374797,1066946,20674555
05/21/2015,3170772,270946655,1087678,734719,1348375,16578,13484716,1265303,22143722
05/22/2015,3370914,275632824,1368894,755227,1246793,19252,13590726,1568730,23304427
05/26/2015,3696540,270884259,1362907,1063602,1270031,26067,13660774,1495418,15617367
05/27/2015,3072611,276186126,1057839,844527,1170245,20267,13767909,1340768,17636398
05/28/2015,2759061,280930444,896724,692339,1169998,19052,13904628,1256383,19282507
05/29/2015,3546173,285106822,1267853,965710,1312610,22216,14020478,1739519,20691572
06/01/2015,3203484,280302364,1115030,769234,1319220,21439,14114584,1271138,12695672
06/02/2015,3041101,284863961,1175738,757391,1107972,24908,14181673,1007260,14596329
06/03/2015,2829153,289421200,867141,799150,1162862,29528,14301494,1071406,15897500
06/04/2015,4313273,293754245,1868063,1118302,1326908,22474,14437305,1672842,17254758
06/05/2015,4082776,299549437,1665652,1126874,1290250,35957,14563828,1832976,18810087
06/08/2015,3724331,295096414,1472211,970914,1281206,34660,14682468,1129181,11066051
06/09/2015,3432879,300027262,1406682,803751,1222446,32135,14852369,829773,12883327
06/10/2015,5153300,304348846,2562531,1196688,1394081,36388,14904834,999359,13979851
06/11/2015,3428988,308753448,1396356,906070,1126562,23234,15064379,811913,14993518
06/12/2015,4064427,312320431,1863449,1019840,1181138,21214,15219534,1081757,15723843
06/15/2015,3772853,308162606,1740658,912845,1119350,21129,15318676,438595,8129072
06/16/2015,4139001,312309124,2037059,958058,1143884,21575,15462219,430709,9024100
06/17/2015,3958006,312650447,1702608,989387,1266011,20680,15548038,600723,10003713
06/18/2015,5006699,315731801,2108278,1465068,1433353,25309,15701079,970716,11203863
06/19/2015,4268540,314393658,1484260,1160804,1623476,21392,15776194,1151274,12653034
06/22/2015,3473589,251230107,1374646,834467,1264476,24024,15823166,1140575,14989221
06/23/2015,3181495,258108093,1114049,809146,1258300,26031,15958703,981144,16831579
06/24/2015,3246911,263772467,1238635,768099,1240177,37996,16025747,1168771,18219147
06/25/2015,3058274,268641932,1074324,796608,1187342,28727,16163565,1161591,19479761
06/26/2015,4103395,272411968,1422862,1317049,1363484,26103,16259716,1799869,20654877
06/29/2015,5773336,269755178,2601814,1795317,1376205,39919,16417158,1634129,13363368
06/30/2015,4699005,277400117,2301647,1222749,1174609,36063,16562457,1352807,15761887
