Date,Sum_of_All_Products_Volume,Sum_of_All_Products_Open_Interest,Index_Options_Volume,Exchange_Traded_Products_Volume,Equity_Options_Volume,Equity_LEAPS_Volume,Equity_LEAPS_Open_Interest,Weeklys_Options_Volume,Weeklys_Options_Open_Interest
01/02/2015,4210653,304443753,1539016,1209214,1462423,77359,43207264,1894943,13869679
01/05/2015,5052421,301885614,1836666,1634722,1581033,120530,43385514,1435494,9030740
01/06/2015,5493860,307209442,1807392,1616992,2069476,139324,43707734,1374165,11009837
01/07/2015,4230555,313290095,1500387,1090477,1639691,87875,44111242,934371,12658105
01/08/2015,4818934,317743389,1619656,1328268,1871010,100377,44386363,1348156,13563700
01/09/2015,4377804,322708285,1365682,1334050,1678072,69924,44767100,1312720,14698255
01/12/2015,3572870,319636101,943635,974056,1655179,118419,45090593,491534,7987149
01/13/2015,5176395,323683007,1509070,1437492,2229833,115122,45405161,717247,8820047
01/14/2015,5634864,329515841,2043703,1598540,1992621,152685,45832471,938017,9975291
01/15/2015,5748483,333860203,1974613,1644143,2129727,168024,46184079,935961,11400863
01/16/2015,6349680,335640361,1922009,1721737,2705934,151211,46713125,1433020,12811834
01/20/2015,3986122,196744204,1619677,845428,1521017,119417,47005752,1286008,15229616
01/21/2015,4173382,199794142,1653941,1134720,1384721,95489,47285602,1647035,17417339
01/22/2015,4704180,206169202,1439349,1493693,1771138,125750,47630067,1876156,19277032
01/23/2015,4860611,212748085,2005067,1164990,1690554,103424,47994450,2006722,20874642
01/26/2015,3126257,210100613,961797,730361,1434099,109972,48332297,1091157,14200217
01/27/2015,3780823,214899531,1072571,1046301,1661951,137360,48540376,1423333,15953171
01/28/2015,4372726,220257098,1215529,1091523,2065674,166996,49049421,1801756,17946576
01/29/2015,4977227,226073096,1616168,1314798,2046261,149209,49528741,2065781,19820464
01/30/2015,4945924,232216035,1672476,1394043,1879405,128094,50030786,2193369,21471228
02/02/2015,3691979,226386912,1352218,972065,1367696,75045,50527006,1263217,11602447
02/03/2015,4264132,231747311,1448104,1103566,1712462,127242,50720204,1500294,13501170
02/04/2015,3696121,236612364,1199798,952381,1543942,94461,50471712,1188836,15020547
02/05/2015,3809095,241662004,1165131,941044,1702920,147410,50893060,1371828,16442658
02/06/2015,5785231,246513875,2133562,1606303,2045366,159192,51138662,2157109,17862235
02/09/2015,3214688,244515373,1066692,724066,1423930,125032,51563684,942951,10591369
02/10/2015,3497698,249223384,1104642,905982,1487074,128954,51891983,1032313,12211003
02/11/2015,3623563,253649296,1054958,859325,1709280,113736,52162724,1074616,13361727
02/12/2015,4964529,258034116,1683620,1256329,2024580,139292,52510248,1271479,14532397
02/13/2015,5003674,263199736,1720686,1224857,2058131,102121,52782291,1217791,15447228
02/17/2015,4037683,260670753,1526639,916151,1594893,118943,53104661,535979,8619180
02/18/2015,4227828,262305946,1732211,961194,1534423,125109,53335426,611136,9545884
02/19/2015,4059684,265721392,1359698,931265,1768721,107313,53444398,766753,10634230
02/20/2015,4968806,267402451,1468189,1408266,2092351,83503,53786497,1370168,12109208
02/23/2015,3341520,223798625,941528,765737,1634255,111571,53973509,1152901,14448785
02/24/2015,3939550,229448416,1414222,873066,1652262,112129,54170630,1191560,16195625
02/25/2015,3994112,235479382,1497699,737138,1759275,109772,54538980,1295838,17643245
02/26/2015,3663221,241282037,929830,848899,1884492,103216,54892147,1495340,19276533
02/27/2015,3968993,246605309,1244761,983443,1740789,105336,55310309,1857479,20543098
03/02/2015,2882319,242486712,968513,691817,1221989,91496,55811406,845436,12816759
03/03/2015,3192646,247370256,1119736,697062,1375848,87656,56110878,904567,14418600
03/04/2015,3106701,251473683,1018918,799924,1287859,122408,56296235,1029106,15479744
03/05/2015,2910291,256280370,797171,608435,1504685,131362,56614912,1098601,16535917
03/06/2015,5249129,259999909,1756312,1632588,1860229,134781,56881814,2205299,17569283
03/09/2015,3131445,257389851,802601,868560,1460284,109947,57315949,876127,11108791
03/10/2015,4374763,261658535,1641106,1251374,1482283,116757,57567716,1116403,12389152
03/11/2015,3634099,266661721,1254773,925881,1453445,109115,57837171,936292,13592054
03/12/2015,3606492,271505120,1236264,803789,1566439,138505,58414794,898177,14617413
03/13/2015,4301170,275491676,1473462,1236968,1590740,115051,58686679,1230931,15181902
03/16/2015,3497460,272299000,1161194,989501,1346765,90925,59059183,411433,8078624
03/17/2015,3216316,276758693,1018969,838207,1359140,83024,59351115,371601,8875975
03/18/2015,5030084,279071597,1910364,1501531,1618189,102999,59663398,604656,9694862
03/19/2015,4176877,284903081,1538514,1067329,1571034,110314,59808329,685209,10718267
03/20/2015,5220472,283145851,1507571,1637033,2075868,112210,60306226,1050169,11878139
03/23/2015,3144697,228144204,976599,756864,1411234,103520,60607486,954574,14065883
03/24/2015,3342581,234275460,1356358,711038,1275185,89192,60905654,975168,15723952
03/25/2015,4170991,239882239,1337193,1161874,1671924,107130,61150221,1439353,16832624
03/26/2015,4459182,246006178,1609911,1273453,1575818,93881,61404617,1446364,18462514
03/27/2015,3530760,251436401,1291247,824753,1414760,91453,61773869,1506687,19571556
03/30/2015,3194410,247286261,1067754,912533,1214123,96014,62052402,1074996,12407532
03/31/2015,3064724,251927026,893740,1074595,1096389,68163,62275575,1029838,13871305
